-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.792, 80.174, 0.366,  0.313
-183.788, 80.158, 0.492,  0.346
-183.785, 80.133, 0.784,  0.379
-183.782, 80.099, 1.019,  0.412
-183.780, 80.059, 1.204,  0.445
-183.777, 80.014, 1.341,  0.478
-183.775, 79.967, 1.431,  0.511
-183.773, 79.919, 1.454,  0.544
-183.770, 79.871, 1.456,  0.577
-183.768, 79.823, 1.449,  0.610
-183.766, 79.776, 1.436,  0.643
-183.764, 79.730, 1.421,  0.676
-183.761, 79.684, 1.404,  0.709
-183.759, 79.639, 1.387,  0.742
-183.757, 79.594, 1.371,  0.775
-183.755, 79.550, 1.350,  0.808
-183.752, 79.506, 1.331,  0.841
-183.750, 79.462, 1.316,  0.874
-183.748, 79.419, 1.306,  0.907
-183.745, 79.376, 1.300,  0.940
-183.743, 79.333, 1.299,  0.973
-183.741, 79.290, 1.301,  1.006
-183.738, 79.247, 1.308,  1.039
-183.736, 79.203, 1.317,  1.072
-183.733, 79.159, 1.329,  1.105
-183.730, 79.114, 1.342,  1.138
-183.728, 79.069, 1.356,  1.171
-183.725, 79.024, 1.370,  1.204
-183.723, 78.978, 1.383,  1.237
-183.720, 78.931, 1.396,  1.270
-183.717, 78.885, 1.407,  1.303
-183.715, 78.838, 1.417,  1.336
-183.712, 78.790, 1.426,  1.369
-183.709, 78.743, 1.433,  1.402
-183.706, 78.695, 1.439,  1.435
-183.704, 78.647, 1.444,  1.468
-183.701, 78.599, 1.448,  1.501
-183.698, 78.550, 1.451,  1.534
-183.695, 78.502, 1.454,  1.567
-183.692, 78.454, 1.456,  1.600
-183.690, 78.405, 1.459,  1.633
-183.687, 78.357, 1.461,  1.666
-183.684, 78.308, 1.464,  1.699
-183.681, 78.259, 1.467,  1.732
